2023-07-27 14:56:27,331 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cention-QA:cention-QA:0.0.1-SNAPSHOT @ C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\pom.xml.
2023-07-27 14:56:29,552 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 14:56:29,694 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 14:56:29,696 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 14:56:29,724 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
2023-07-27 14:56:32,247 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: cention-QA:cention-QA:0.0.1-SNAPSHOT @ C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\pom.xml.
2023-07-27 14:56:35,329 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 14:56:35,332 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 14:56:35,336 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 14:56:35,340 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
2023-07-27 15:00:13,780 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:00:13,782 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 15:00:13,783 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:00:13,785 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
2023-07-27 15:02:08,858 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:02:08,859 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 15:02:08,861 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:02:08,863 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
2023-07-27 15:02:09,897 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:02:09,898 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 15:02:09,899 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:02:09,900 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
2023-07-27 15:06:31,840 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:06:31,842 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\main\resources
2023-07-27 15:06:31,844 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2023-07-27 15:06:31,846 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\newus\Documents\workspace\CloudQATestCases\cention-QA\src\test\resources
